CITY,ADDRESS,GEOCODE
Шумен,"ул. „Панайот Волов“ 53, 9700 Шумен Център, Шумен - 2 бр.","43.275949, 26.928042"
Шумен,"Паркинг, Градски, Шумен","43.272288, 26.938185"
Шумен,"ул. „Родопи“ 261, 9704 ж.к. Тракия, Шумен - 2 бр.","43.275329, 26.955108"
Шумен,"9704 ж.к. Тракия, ул. Дедеагач, Шумен","43.272188, 26.956588"
Шумен,"ул. „Университетска“ 10, 9703 Шумен","43.276745, 26.937124"
Шумен,"ул. „Съединение“, 9700 Шумен Център, Шумен - 2 бр","43.269175, 26.926510"
Шумен,"ул. „Преслав“ 28-40, 9701 Шумен Център, Шумен","43.266292, 26.936617"
Шумен,"ул. „Каварна“, 9708 Добруджански, Шумен -  2 бр.","43.266485, 26.944257"
Шумен,"бул. „Велики Преслав“ 142, 9706 Дивдядово, Шумен","43.241054, 26.927159"
Шумен,"ул. Хан Аспарух, 9747 Шумен-с. Царев брод","43.327501, 27.013753"
Ямбол,"ж.к. Диана 70-17, 8602 ж.к. Диана, Ямбол","42.470722, 26.528381"
Ямбол,"ул. „Доктор Кръстев“ 7, 8601 Каргон, Ямбол","42.476608, 26.499763"
Ямбол,"ул. „Дружба“ 5, 8600 Ямбол Център, Ямбол","42.482256, 26.499042"
Ямбол,"бул. „Граф Игнатиев“ 27, 8600 ж.к. Изток, Ямбол","42.479598, 26.518539"
Ямбол,"ул. „Цар Иван Шишман“, 8600 Ямбол Център, Ямбол","42.485673, 26.507722"
Ямбол,"Златен Рог 5А, 8606 ж.к. Златен рог, Ямбол","42.482941, 26.489602"
